signal_name,type,fanin,fanin_verb,Fanout,fanout_verb,loop,length,hier_level,size,tag
i_mem_stall,1,0,1,44,221,0,1,0,167,1
i_mem_read_data_valid,1,0,1,1,6,0,1,0,167,0
i_daddress_valid,1,0,1,0,1,0,1,0,167,0
o_wb_read_data_valid,2,1,3,1,1,0,1,0,167,0
mem_read_data_valid_r_reg,3,3,11,1,1,1,1,0,167,0
i_mem_read_data,1,0,1,1,6,0,32,0,167,0
i_mem_load_rd,1,0,1,1,6,0,11,0,167,0
i_daddress,1,0,1,0,1,0,32,0,167,0
o_wb_read_data,2,1,3,1,1,0,32,0,167,0
o_wb_load_rd,2,1,3,1,1,0,11,0,167,0
mem_load_rd_r_reg,3,3,11,1,1,1,11,0,167,0
mem_read_data_r_reg,3,3,11,1,1,1,32,0,167,0
ack_i,1,0,1,1,4,0,1,0,265,0
hresetn,1,0,1,85,170,0,1,0,265,1
hwrite,1,0,1,1,6,0,1,0,265,0
hsel,1,0,1,19,127,0,1,0,265,1
rst_i,1,0,1,0,1,0,1,0,265,0
cyc_o,2,1,3,1,1,0,1,0,265,0
we_o,2,1,3,1,1,0,1,0,265,0
stb_o,2,1,3,1,1,0,1,0,265,0
hready,2,2,4,1,1,0,1,0,265,0
dat_o_reg,3,1,2,2,3,0,32,0,265,0
cyc_o_reg,3,10,66,1,1,1,1,0,265,0
hwrite_temp_reg,3,11,45,1,1,1,1,0,265,1
stb_o_reg,3,10,50,1,1,1,1,0,265,1
hready_reg,3,2,8,21,121,0,1,0,265,1
dat_i,1,0,1,1,2,0,32,0,265,0
haddr,1,0,1,1,6,0,16,0,265,0
htrans,1,0,1,19,116,0,2,0,265,1
hsize,1,0,1,0,1,0,3,0,265,0
hburst,1,0,1,19,125,0,3,0,265,1
hwdata,1,0,1,1,2,0,32,0,265,0
adr_o,2,1,3,1,1,0,16,0,265,0
dat_o,2,2,4,1,1,0,32,0,265,0
hrdata,2,2,4,1,1,0,32,0,265,0
hresp,2,0,1,1,1,0,2,0,265,0
hrdata_reg,3,1,2,2,3,0,32,0,265,0
addr_temp_reg,3,11,45,1,1,1,16,0,265,0
/designs/ALU/ports_in/res,1,0,1,82,85,0,1,0,114,1
/designs/ALU/ports_in/alu_stb_in,1,0,1,83,3443,0,1,0,114,1
/designs/ALU/ports_in/alu_data_valid_in,1,0,1,74,2901,0,1,0,114,1
/designs/ALU/ports_out/result_parity,2,1,5,1,1,0,1,0,114,0
/designs/ALU/ports_out/output_channel,2,1,5,1,1,0,1,0,114,0
/designs/ALU/ports_out/alu_stb_out,2,1,3,1,1,0,1,0,114,0
/designs/ALU/instances_seq/alu_stb_out_reg,3,1,2,1,1,0,1,0,114,0
/designs/ALU/instances_seq/executed_case_once_reg,3,3,28,1,1,1,1,0,114,1
/designs/ALU/instances_seq/output_channel_reg,3,3,13,1,1,1,1,0,114,1
/designs/ALU/instances_seq/result_parity_reg,3,220,8334,1,1,1,1,0,114,0
/designs/ALU/ports_in/alu_data_in,1,0,1,21,1885,0,8,0,114,0
/designs/ALU/ports_out/alu_result,2,1,5,1,1,0,16,0,114,0
/designs/ALU/instances_seq/alu_memory_reg[0],3,36,236,1,1,1,8,0,114,0
/designs/ALU/instances_seq/alu_memory_reg[1],3,36,240,1,1,1,8,0,114,0
/designs/ALU/instances_seq/alu_memory_reg[2],3,36,249,1,1,1,8,0,114,0
/designs/ALU/instances_seq/alu_result_reg,3,108,2840,1,1,1,16,0,114,0
/designs/ALU/instances_seq/i_reg,3,19,150,1,1,1,32,0,114,0
/designs/ALU/instances_seq/operator_symbol_reg,3,3,13,1,1,1,3,0,114,1
/designs/ALU/instances_seq/operator_type_reg,3,3,14,1,1,1,4,0,114,1
rst,1,0,1,4,17,0,1,0,14,1
request,1,0,1,4,48,0,4,0,14,0
grant,2,1,3,1,1,0,4,0,14,0
grant_reg,3,8,52,1,1,1,4,0,14,1
rst,1,0,1,54,59,0,1,0,96,1
wr,1,0,1,17,36,0,1,0,96,1
rd,1,0,1,17,66,0,1,0,96,1
miso,1,0,1,2,21,0,1,0,96,0
lsbfirst,1,0,1,2,32,0,1,0,96,1
res_senderr,1,0,1,5,24,0,1,0,96,1
buffempty,2,2,22,1,1,0,1,0,96,0
sck,2,2,12,1,1,0,1,0,96,0
mosi,2,2,12,1,1,0,1,0,96,0
ss,2,1,5,1,1,0,1,0,96,0
senderr,2,1,5,1,1,0,1,0,96,0
charreceived,2,2,14,1,1,0,1,0,96,0
_mosi_reg,3,24,274,1,1,1,1,0,96,0
ss_reg,3,21,229,1,1,1,1,0,96,0
state_reg,3,20,218,1,1,1,1,0,96,1
charreceivedp_reg,3,20,201,1,1,1,1,0,96,1
lsbfirstint_reg,3,5,42,1,1,1,1,0,96,1
inbufffulln_reg,3,3,44,1,1,1,1,0,96,1
inbufffullp_reg,3,4,31,1,1,1,1,0,96,0
senderr_reg,3,3,27,1,1,1,1,0,96,0
charreceivedn_reg,3,1,5,1,1,0,1,0,96,0
prescaller,1,0,1,1,6,0,3,0,96,0
mode,1,0,1,1,31,0,2,0,96,0
data,1,1,3,2,7,0,16,0,96,0
shift_reg_out_reg,3,20,244,1,1,1,8,0,96,0
sckint_reg,3,18,218,1,1,1,5,0,96,1
shift_reg_in_reg,3,18,198,1,1,1,8,0,96,0
output_buffer_reg,3,20,200,1,1,1,8,0,96,0
prescaller_cnt_reg,3,14,202,1,1,1,8,0,96,1
prescallerint_reg,3,5,45,1,1,1,3,0,96,1
modeint_reg,3,5,42,1,1,1,2,0,96,0
prescallerbuff_reg,3,6,39,1,1,1,3,0,96,0
input_buffer_reg,3,5,32,1,1,1,8,0,96,0
M_AXIS_ARESETN,1,0,1,15,75,0,1,0,56,1
M_AXIS_TREADY,1,0,1,6,58,0,1,0,56,1
M_AXIS_TVALID,2,1,3,1,1,0,1,0,56,0
M_AXIS_TLAST,2,1,3,1,1,0,1,0,56,0
tx_done_reg,3,9,51,1,1,1,1,0,56,1
axis_tlast_delay_reg,3,5,26,1,1,0,1,0,56,0
axis_tvalid_delay_reg,3,4,17,1,1,0,1,0,56,1
M_AXIS_TDATA,2,0,1,1,1,0,32,0,56,0
M_AXIS_TSTRB,2,0,1,1,1,0,4,0,56,0
count_reg,3,8,52,1,1,1,5,0,56,1
mst_exec_state_reg,3,8,47,1,1,1,2,0,56,1
read_pointer_reg,3,7,46,1,1,1,2,0,56,1
stream_data_out_reg,3,7,39,1,1,1,3,0,56,0
rst,1,0,1,0,3,0,1,0,184,1
input_0_axis_tvalid,1,0,1,0,16,0,1,0,184,1
input_0_axis_tlast,1,0,1,0,14,0,1,0,184,1
input_1_axis_tvalid,1,0,1,0,16,0,1,0,184,1
input_1_axis_tlast,1,0,1,0,14,0,1,0,184,1
input_2_axis_tvalid,1,0,1,0,16,0,1,0,184,1
input_2_axis_tlast,1,0,1,0,14,0,1,0,184,1
input_3_axis_tvalid,1,0,1,0,16,0,1,0,184,1
input_3_axis_tlast,1,0,1,0,14,0,1,0,184,1
output_axis_tready,1,0,1,0,2,0,1,0,184,0
input_0_axis_tready,2,1,3,1,1,0,1,0,184,0
input_1_axis_tready,2,1,3,1,1,0,1,0,184,0
input_2_axis_tready,2,1,3,1,1,0,1,0,184,0
input_3_axis_tready,2,1,3,1,1,0,1,0,184,0
output_axis_tvalid,2,1,3,1,1,0,1,0,184,0
output_axis_tlast,2,1,3,1,1,0,1,0,184,0
/designs/axis_arb_mux_4/instances_hier/arb_inst/instances_seq/grant_valid_reg_reg,3,6,65,1,1,1,1,1,184,0
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/input_0_axis_tready_reg_reg,3,12,298,1,1,1,1,1,184,1
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/input_1_axis_tready_reg_reg,3,11,294,1,1,1,1,1,184,1
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/input_2_axis_tready_reg_reg,3,13,292,1,1,1,1,1,184,1
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/input_3_axis_tready_reg_reg,3,11,296,1,1,1,1,1,184,1
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/output_axis_tready_int_reg_reg,3,9,114,1,1,0,1,1,184,0
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/output_axis_tvalid_reg_reg,3,10,126,1,1,1,1,1,184,1
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/temp_axis_tvalid_reg_reg,3,10,128,1,1,1,1,1,184,1
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/frame_reg_reg,3,7,188,1,1,1,1,1,184,1
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/output_axis_tlast_reg_reg,3,6,86,1,1,1,1,1,184,0
/designs/axis_arb_mux_4/instances_hier/mux_inst/instances_seq/temp_axis_tlast_reg_reg,3,5,64,1,1,1,1,1,184,0
input_0_axis_tdata,1,0,1,0,2,0,8,0,184,0
input_0_axis_tkeep,1,0,1,0,1,0,1,0,184,0
input_0_axis_tid,1,0,1,0,1,0,8,0,184,0
input_0_axis_tdest,1,0,1,0,1,0,8,0,184,0
input_0_axis_tuser,1,0,1,0,2,0,1,0,184,0
input_1_axis_tdata,1,0,1,0,2,0,8,0,184,0
input_1_axis_tkeep,1,0,1,0,1,0,1,0,184,0
input_1_axis_tid,1,0,1,0,1,0,8,0,184,0
input_1_axis_tdest,1,0,1,0,1,0,8,0,184,0
input_1_axis_tuser,1,0,1,0,2,0,1,0,184,0
input_2_axis_tdata,1,0,1,0,2,0,8,0,184,0
input_2_axis_tkeep,1,0,1,0,1,0,1,0,184,0
